name,age,debt,pop,regionname,region,gdp
Sudan,19.1,0.707067669,46365,Middle East & North Africa,3,66.5
Libya,27.5,0.061068702,6979,Middle East & North Africa,3,65.5
Dominican Rep.,27.1,0.457843137,10680,America,0,61.2
Burma,27.9,0.397274276,52303,East Asia & Pacific,1,58.7
Uzbekistan,27.1,0.086971831,28942,Europe & Central Asia,2,56.8
Kenya,19.1,0.497996357,44740,Sub-Saharan Africa,5,54.9
Bulgaria,42.6,0.288073394,7334,Europe & Central Asia,2,54.5
Guatemala,21,0.243042672,15663,America,0,53.9
Ghana,20.8,0.675925926,26137,Sub-Saharan Africa,5,48.6
Ethiopia,17.6,0.286105263,92791,Sub-Saharan Africa,5,47.5
Tunisia,31.4,0.475106383,10732,Middle East & North Africa,3,47
Serbia,41.9,0.709010989,9840,Europe & Central Asia,2,45.5
Tanzania,17.4,0.399097065,49922,Sub-Saharan Africa,5,44.3
Yemen,18.6,0.499444444,26719,Middle East & North Africa,3,36
Cote d'Ivoire,20.3,0.429073482,23400,Sub-Saharan Africa,5,31.3
Bolivia,23.4,0.323856209,10610,America,0,30.6
"Congo, Rep. of the",19.8,0.197,74464,Sub-Saharan Africa,5,30
Cameroon,18.3,0.198986486,21505,Sub-Saharan Africa,5,29.6
Paraguay,26.8,0.151557093,6844,America,0,28.9
Zambia,16.7,0.310074627,14440,Sub-Saharan Africa,5,26.8
Uganda,15.5,0.346963563,37859,Sub-Saharan Africa,5,24.7
Afghanistan,18.1,0.066009852,32674,South Asia,4,20.3
Nepal,22.9,0.288020833,31698,South Asia,4,19.2
Honduras,21.9,0.426486486,8154,America,0,18.5
Mozambique,16.9,0.554193548,25191,Sub-Saharan Africa,5,15.5
Papua New Guinea,22.4,0.307792208,7440,East Asia & Pacific,1,15.4
Cambodia,24.1,0.280921053,15957,East Asia & Pacific,1,15.2
Senegal,18.4,0.295945946,14023,Sub-Saharan Africa,5,14.8
Zimbabwe,20.2,0.77037037,13546,Sub-Saharan Africa,5,13.5
Chad,17.2,0.237984496,12620,Sub-Saharan Africa,5,12.9
Burkina Faso,17,0.282644628,18181,Sub-Saharan Africa,5,12.1
Laos,22,0.620535714,6847,East Asia & Pacific,1,11.2
Mali,16,0.31981982,14478,Sub-Saharan Africa,5,11.1
Madagascar,19.2,0.349056604,22026,Sub-Saharan Africa,5,10.6
Tajikistan,23.5,0.409411765,7549,Europe & Central Asia,2,8.5
Haiti,22.2,0.267058824,10727,America,0,8.5
Benin,17.7,0.18313253,10207,Sub-Saharan Africa,5,8.3
Niger,15.1,0.248051948,18124,Sub-Saharan Africa,5,7.7
Rwanda,18.7,0.28,11295,Sub-Saharan Africa,5,7.5
Guinea,18.7,0.208064516,11364,Sub-Saharan Africa,5,6.2
Togo,19.6,0.165116279,7356,Sub-Saharan Africa,5,4.3
Malawi,16.3,0.179487179,17280,Sub-Saharan Africa,5,3.9
Burundi,17,0.140740741,9155,Sub-Saharan Africa,5,2.7
